replied_to,like_count,hashtags,tweet_id,created_at,reply_count,retweet_count,retweeted,quoted,mentions,text,author_id,quote_count,_ts
[],5330,[],1603984097113538560,2022-12-17T05:23:03.000000000+00:00,1143,556,[],[],[],"Doxx Populi, Doxx Dei",44196397,98,1671254822107
[],11461,[],1603982891179839488,2022-12-17T05:18:16.000000000+00:00,3073,1155,[],[1603609466301059073],[],"The people have spoken.

Accounts who doxxed my location will have their suspension lifted now. https://t.co/MFdXbEQFCe",44196397,436,1671254822110
[1603731765402689536],3989,[],1603981524155912193,2022-12-17T05:12:50.000000000+00:00,375,413,[],[],['catturd2'],"@catturd2 Indeed, there is no other reason",44196397,24,1671254822113
[1603947747677065216],18642,[],1603950343032692736,2022-12-17T03:08:56.000000000+00:00,1230,967,[],[],['Lukewearechange'],@Lukewearechange Umm … yeah,44196397,65,1671254822122
[1603910126448033793],11779,[],1603943222522236928,2022-12-17T02:40:38.000000000+00:00,871,783,[],[],['BillFOXLA'],@BillFOXLA Bizarre,44196397,53,1671254822127
[1603913179608023040],2837,[],1603941673695707136,2022-12-17T02:34:29.000000000+00:00,427,151,[],[],['RichardGarriott'],@RichardGarriott Ultima V for me,44196397,32,1671254822130
[1603575149524971521],30484,[],1603903999870062592,2022-12-17T00:04:47.000000000+00:00,1183,2514,[],[],['littlemissjacob'],@littlemissjacob Such shameful behavior will not be tolerated going forward,44196397,120,1671254822134
[1603721979357446144],46449,[],1603902562071040000,2022-12-16T23:59:04.000000000+00:00,7043,4457,[],[],['MuskUniversity'],@MuskUniversity Too many people have lost faith in the future. A new philosophy is needed.,44196397,717,1671254822143
[],62810,[],1603902134181068800,2022-12-16T23:57:22.000000000+00:00,4046,5063,[],[1603884863085346817],[],Second launch today https://t.co/gUnyyUlZSi,44196397,356,1671254822148
[],179606,[],1603874735917764608,2022-12-16T22:08:30.000000000+00:00,16356,16505,[],[],[],Spaces is back,44196397,8866,1671254822152
[1603865576547287040],6922,[],1603873582194380800,2022-12-16T22:03:55.000000000+00:00,515,521,[],[],['WholeMarsBlog'],@WholeMarsBlog Markoff is lying,44196397,36,1671254822155
